File size: 276768 bytes
Tamanho do cabecalho: 44 bytes
ChunkID: RIFF9
ChunkSize: 276760
AudioFormat: 1
NumOfChan: 2
SamplesPerSec: 44100
bytesPerSec: 176400
bitsPerSample: 16
Numero de amostras: 138362

	-> Construindo Tabela de frequencia...
Validos: 13859
Amostra 65535, frequencia: 565
Amostra 65408, frequencia: 61
Amostra 65336, frequencia: 61
Amostra 123, frequencia: 61
Amostra 65370, frequencia: 61
Amostra 127, frequencia: 61
Amostra 102, frequencia: 61
Amostra 65369, frequencia: 60
Amostra 65307, frequencia: 60
Amostra 116, frequencia: 60
Amostra 65389, frequencia: 60
Amostra 65406, frequencia: 60
Amostra 65391, frequencia: 60
Amostra 65352, frequencia: 60
Amostra 65366, frequencia: 60
Amostra 65396, frequencia: 60
Amostra 65397, frequencia: 60
Amostra 65378, frequencia: 60
Amostra 65415, frequencia: 60
Amostra 65387, frequencia: 59
Amostra 112, frequencia: 59
Amostra 65379, frequencia: 59
Amostra 65310, frequencia: 59
Amostra 129, frequencia: 59
Amostra 65300, frequencia: 59
Amostra 65386, frequencia: 59
Amostra 65374, frequencia: 58
Amostra 65326, frequencia: 58
Amostra 65382, frequencia: 58
Amostra 65357, frequencia: 58
Amostra 65407, frequencia: 58
Amostra 65373, frequencia: 58
Amostra 65349, frequencia: 57
Amostra 65314, frequencia: 57
Amostra 65274, frequencia: 57
Amostra 65344, frequencia: 57
Amostra 140, frequencia: 56
Amostra 149, frequencia: 56
Amostra 65309, frequencia: 56
Amostra 65359, frequencia: 56
Amostra 186, frequencia: 56
Amostra 65368, frequencia: 56
Amostra 131, frequencia: 56
Amostra 65337, frequencia: 55
Amostra 65306, frequencia: 55
Amostra 65345, frequencia: 55
Amostra 108, frequencia: 55
Amostra 65393, frequencia: 55
Amostra 65240, frequencia: 55
Amostra 137, frequencia: 55
Amostra 65285, frequencia: 55
Amostra 65316, frequencia: 55
Amostra 65361, frequencia: 55
Amostra 177, frequencia: 55
Amostra 65304, frequencia: 55
Amostra 65305, frequencia: 55
Amostra 65243, frequencia: 54
Amostra 65403, frequencia: 54
Amostra 65252, frequencia: 54
Amostra 65348, frequencia: 54
Amostra 65270, frequencia: 54
Amostra 65350, frequencia: 54
Amostra 196, frequencia: 54
Amostra 220, frequencia: 54
Amostra 151, frequencia: 54
Amostra 65339, frequencia: 54
Amostra 65388, frequencia: 54
Amostra 65338, frequencia: 53
Amostra 65384, frequencia: 53
Amostra 229, frequencia: 53
Amostra 65341, frequencia: 53
Amostra 344, frequencia: 53
Amostra 125, frequencia: 53
Amostra 97, frequencia: 53
Amostra 65251, frequencia: 53
Amostra 128, frequencia: 53
Amostra 111, frequencia: 53
Amostra 65411, frequencia: 53
Amostra 130, frequencia: 53
Amostra 120, frequencia: 53
Amostra 122, frequencia: 53
Amostra 105, frequencia: 53
Amostra 65303, frequencia: 52
Amostra 65376, frequencia: 52
Amostra 146, frequencia: 52
Amostra 148, frequencia: 52
Amostra 212, frequencia: 52
Amostra 65265, frequencia: 52
Amostra 138, frequencia: 52
Amostra 65271, frequencia: 52
Amostra 143, frequencia: 52
Amostra 169, frequencia: 52
Amostra 65299, frequencia: 52
Amostra 144, frequencia: 52
Amostra 106, frequencia: 51
Amostra 126, frequencia: 51
